"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
89,"10.02.2","G","2","S",3,"trans-18:1n9",0,16.936,-6.842,1.098177,0.7697,5.999,4059.95,"gram-bacteria"
90,"10.02.2","G","2","S",3,"18:0",0,15.803,-13.712,1.090663,0.7645,5.999,3788.35,"bacteria"
91,"10.02.2","G","2","S",3,"19:0",0,17.906,-33.295,1.06924,0.8216,5.999,4077.95,"standard"
92,"10.02.2","G","2","S",3,"20:4n6",0,0.982,-30.363,1.072447,0.7919,5.999,213,"protozoa"
93,"10.02.2","G","2","S",3,"20:5n3",0,1.717,-33.594,1.068912,0.797,5.999,372.4,"protozoa"
94,"10.02.1","G","1","S",3,"12:0",0,16.051,-30.602,1.072186,0.7285,5.807,6226.2,"standard"
95,"10.02.1","G","1","S",3,"14:0",0,2.908,29.92,1.138364,0.7432,5.807,977.73,"bacteria"
96,"10.02.1","G","1","S",3,"a15:0",0,43.695,11.577,1.118315,0.7494,5.807,13772.75,"gram+bacteria"
97,"10.02.1","G","1","S",3,"15:0",0,3.998,0.366,1.106058,0.7494,5.807,1260.17,"bacteria"
98,"10.02.1","G","1","S",3,"16:1n9/i16:0",0,6.89,179.72,1.301781,0.7606,5.807,2044.02,"bacteria"
99,"10.02.1","G","1","S",3,"16:0",0,60.748,10.308,1.116929,0.755,5.807,18020.14,"bacteria"
100,"10.02.1","G","1","S",3,"i17:0",0,8.066,-30.042,1.072799,0.76,5.807,2259.74,"gram+bacteria"
101,"10.02.1","G","1","S",3,"17:0cy",0,14.137,-13.707,1.090669,0.7654,5.807,3960.69,"gram-bacteria"
102,"10.02.1","G","1","S",3,"17:0",0,10.321,-24.843,1.078487,0.76,5.807,2891.49,"bacteria"
