"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
225,"12.09.1","2.5 ul","16:0",0,38.201,161.788,1.282247,"0.755"
226,"12.09.1","2.5 ul","i17:0",0,1.929,-36.035,1.066241,"0.76"
227,"12.09.1","2.5 ul","17:0cy",0,11.455,-1.329,1.104205,"0.7654"
228,"12.09.1","2.5 ul","17:0",0,8.82,-12.857,1.091599,"0.76"
229,"12.09.1","2.5 ul","18:3n6",0,0.662,5.6,1.111781,"0.7765"
230,"12.09.1","2.5 ul","trans-18:1n9",0,12.762,90.944,1.205,"0.7697"
231,"12.09.1","2.5 ul","18:0",0,8.077,196.787,1.320365,"0.7645"
232,"12.09.1","2.5 ul","19:0cy",0,45.096,-15.551,1.088652,"0.7736"
233,"12.09.1","2.5 ul","19:0",0,14.572,-32.249,1.070383,"0.8216"
234,"12.09.1","2.5 ul","20:4n6",0,0.329,-33.964,1.068507,"0.7919"
235,"12.09.2","2.5 ul","12:0",0,13.461,-30.251,1.07257,"0.7285"
236,"12.09.2","2.5 ul","14:0",0,1.269,46.054,1.15599,"0.7432"
237,"12.09.2","2.5 ul","a15:0",0,24.643,12.105,1.118893,"0.7494"
238,"12.09.2","2.5 ul","15:0",0,2.667,29.62,1.138036,"0.7494"
239,"12.09.2","2.5 ul","16:1n9/i16:0",0,2.928,158.685,1.278866,"0.7606"
240,"12.09.2","2.5 ul","16:0",0,25.569,251.095,1.379454,"0.755"
241,"12.09.2","2.5 ul","i17:0",0,3.733,-31.2,1.071532,"0.76"
242,"12.09.2","2.5 ul","17:0cy",0,7.34,14.695,1.121724,"0.7654"
243,"12.09.2","2.5 ul","17:0",0,5.517,2.45,1.108337,"0.76"
244,"12.09.2","2.5 ul","18:3n6",0,0.526,24.575,1.132522,"0.7765"
245,"12.09.2","2.5 ul","trans-18:1n9",0,7.498,159.85,1.280136,"0.7697"
246,"12.09.2","2.5 ul","18:0",0,5.454,314.855,1.448737,"0.7645"
247,"12.09.2","2.5 ul","19:0cy",0,27.9,7.153,1.113479,"0.7736"
248,"12.09.2","2.5 ul","19:0",0,13.434,-26.74,1.076411,"0.8216"
249,"12.09.2","2.5 ul","20:5n3",0,0.933,-18.584,1.085334,"0.797"
250,"12.01.2","3 ul","12:0",0,15.302,-30.638,1.072147,"0.7285"
251,"12.01.2","3 ul","14:0",0,2.741,-14.014,1.090333,"0.7432"
252,"12.01.2","3 ul","a15:0",0,48.597,-22.486,1.081066,"0.7494"
253,"12.01.2","3 ul","15:0",0,4.74,-16.435,1.087685,"0.7494"
254,"12.01.2","3 ul","16:1n9/i16:0",0,4.304,39.419,1.148741,"0.7606"
255,"12.01.2","3 ul","16:0",0,37.641,48.647,1.158823,"0.755"
256,"12.01.2","3 ul","i17:0",0,9.132,-30.965,1.071788,"0.76"
257,"12.01.2","3 ul","17:0cy",0,12.058,-20.382,1.083367,"0.7654"
