"ID","SampleName","Injection_vol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ID.1","SampleName.1","Injection_vol_ul.1","FAME_compound.1","Sample_Dilution.1","Peak_Area.1","d13.1","Atom_per_13C.1","FAME_per_C.1","Dry_Soil_Mass_g.1","StandardRatio","ugC_FAME_compound","Total_C_ug"
136,"02.10.1",2.5,"14:0",0,1.264,175.821,1.297535,0.7432,6.059,136,"02.10.1",2.5,"14:0",0,1.264,175.821,1.297535,0.7432,6.059,0.3483,3.6291,435.49
137,"02.10.1",2.5,"a15:0",0,22.725,1.16,1.106927,0.7494,6.059,137,"02.10.1",2.5,"a15:0",0,22.725,1.16,1.106927,0.7494,6.059,0.3483,65.2455,7829.46
138,"02.10.1",2.5,"15:0",0,2.152,-6.373,1.098689,0.7494,6.059,138,"02.10.1",2.5,"15:0",0,2.152,-6.373,1.098689,0.7494,6.059,0.3483,6.1786,741.43
139,"02.10.1",2.5,"16:1n9/i16:0",0,3.413,293.71,1.425772,0.7606,6.059,139,"02.10.1",2.5,"16:1n9/i16:0",0,3.413,293.71,1.425772,0.7606,6.059,0.3483,9.799,1175.88
140,"02.10.1",2.5,"16:1w5",0,3.698,11.553,1.118289,0.7554,6.059,140,"02.10.1",2.5,"16:1w5",0,3.698,11.553,1.118289,0.7554,6.059,0.3483,10.6173,1274.08
141,"02.10.1",2.5,"16:0",0,26.02,66.261,1.178058,0.755,6.059,141,"02.10.1",2.5,"16:0",0,26.02,66.261,1.178058,0.755,6.059,0.3483,74.7057,8964.68
142,"02.10.1",2.5,"i17:0",0,0.446,-32.615,1.069984,0.76,6.059,142,"02.10.1",2.5,"i17:0",0,0.446,-32.615,1.069984,0.76,6.059,0.3483,1.2805,153.66
143,"02.10.1",2.5,"17:0cy",0,7.563,-9.78,1.094963,0.7654,6.059,143,"02.10.1",2.5,"17:0cy",0,7.563,-9.78,1.094963,0.7654,6.059,0.3483,21.714,2605.68
144,"02.10.1",2.5,"17:0",0,6.328,-23.515,1.07994,0.76,6.059,144,"02.10.1",2.5,"17:0",0,6.328,-23.515,1.07994,0.76,6.059,0.3483,18.1682,2180.18
145,"02.10.1",2.5,"18:3n6",0,0.432,-28.623,1.074351,0.7765,6.059,145,"02.10.1",2.5,"18:3n6",0,0.432,-28.623,1.074351,0.7765,6.059,0.3483,1.2403,148.84
146,"02.10.1",2.5,"trans-18:1n9",0,7.789,-14.042,1.090302,0.7697,6.059,146,"02.10.1",2.5,"trans-18:1n9",0,7.789,-14.042,1.090302,0.7697,6.059,0.3483,22.3629,2683.55
147,"02.10.1",2.5,"18:0",0,6.797,35.632,1.144604,0.7645,6.059,147,"02.10.1",2.5,"18:0",0,6.797,35.632,1.144604,0.7645,6.059,0.3483,19.5148,2341.78
148,"02.10.1",2.5,"19:0cy",0,24.889,-32.249,1.070384,0.7736,6.059,148,"02.10.1",2.5,"19:0cy",0,24.889,-32.249,1.070384,0.7736,6.059,0.3483,71.4585,8575.02
149,"02.10.1",2.5,"19:0",0,13.575,-32.347,1.070277,0.8216,6.059,149,"02.10.1",2.5,"19:0",0,13.575,-32.347,1.070277,0.8216,6.059,0.3483,38.975,4677
150,"02.10.1",2.5,"20:4n6",0,0.402,-18.368,1.085571,0.7919,6.059,150,"02.10.1",2.5,"20:4n6",0,0.402,-18.368,1.085571,0.7919,6.059,0.3483,1.1542,138.5
151,"02.10.3",3,"12:0",0,15.975,-31.012,1.071737,0.7285,6.002,151,"02.10.3",3,"12:0",0,15.975,-31.012,1.071737,0.7285,6.002,0.41255,38.7226,3872.26
152,"02.10.3",3,"14:0",0,1.404,-21.05,1.082636,0.7432,6.002,152,"02.10.3",3,"14:0",0,1.404,-21.05,1.082636,0.7432,6.002,0.41255,3.4032,340.32
153,"02.10.3",3,"a15:0",0,30.103,-25.635,1.077621,0.7494,6.002,153,"02.10.3",3,"a15:0",0,30.103,-25.635,1.077621,0.7494,6.002,0.41255,72.9681,7296.81
154,"02.10.3",3,"15:0",0,3.332,-27.043,1.07608,0.7494,6.002,154,"02.10.3",3,"15:0",0,3.332,-27.043,1.07608,0.7494,6.002,0.41255,8.0766,807.66
155,"02.10.3",3,"16:1n9/i16:0",0,3.469,22.559,1.130319,0.7606,6.002,155,"02.10.3",3,"16:1n9/i16:0",0,3.469,22.559,1.130319,0.7606,6.002,0.41255,8.4087,840.87
156,"02.10.3",3,"16:1w5",0,5.166,-22.844,1.080674,0.7554,6.002,156,"02.10.3",3,"16:1w5",0,5.166,-22.844,1.080674,0.7554,6.002,0.41255,12.5221,1252.21
157,"02.10.3",3,"16:0",0,35.431,-20.376,1.083373,0.755,6.002,157,"02.10.3",3,"16:0",0,35.431,-20.376,1.083373,0.755,6.002,0.41255,85.8829,8588.29
158,"02.10.3",3,"i17:0",0,4.765,-32.602,1.069997,0.76,6.002,158,"02.10.3",3,"i17:0",0,4.765,-32.602,1.069997,0.76,6.002,0.41255,11.5501,1155.01
159,"02.10.3",3,"17:0cy",0,10.241,-28.372,1.074626,0.7654,6.002,159,"02.10.3",3,"17:0cy",0,10.241,-28.372,1.074626,0.7654,6.002,0.41255,24.8237,2482.37
160,"02.10.3",3,"17:0",0,7.975,-31.942,1.070719,0.76,6.002,160,"02.10.3",3,"17:0",0,7.975,-31.942,1.070719,0.76,6.002,0.41255,19.331,1933.1
161,"02.10.3",3,"18:3n6",0,0.635,-27.537,1.075539,0.7765,6.002,161,"02.10.3",3,"18:3n6",0,0.635,-27.537,1.075539,0.7765,6.002,0.41255,1.5392,153.92
162,"02.10.3",3,"trans-18:1n9",0,10.98,-24.529,1.078831,0.7697,6.002,162,"02.10.3",3,"trans-18:1n9",0,10.98,-24.529,1.078831,0.7697,6.002,0.41255,26.615,2661.5
163,"02.10.3",3,"18:0",0,8.991,-19.807,1.083997,0.7645,6.002,163,"02.10.3",3,"18:0",0,8.991,-19.807,1.083997,0.7645,6.002,0.41255,21.7937,2179.37
164,"02.10.3",3,"19:0cy",0,42.485,-34.432,1.067995,0.7736,6.002,164,"02.10.3",3,"19:0cy",0,42.485,-34.432,1.067995,0.7736,6.002,0.41255,102.9815,10298.15
165,"02.10.3",3,"19:0",0,16.684,-33.036,1.069523,0.8216,6.002,165,"02.10.3",3,"19:0",0,16.684,-33.036,1.069523,0.8216,6.002,0.41255,40.4412,4044.12
166,"02.10.3",3,"20:4n6",0,1.031,-37.747,1.064367,0.7919,6.002,166,"02.10.3",3,"20:4n6",0,1.031,-37.747,1.064367,0.7919,6.002,0.41255,2.4991,249.91
167,"02.10.3",3,"20:5n3",0,1.133,-35.216,1.067137,0.797,6.002,167,"02.10.3",3,"20:5n3",0,1.133,-35.216,1.067137,0.797,6.002,0.41255,2.7463,274.63
168,"03.07.2",3,"12:0",0,17.461,-30.823,1.071944,0.7285,6.051,168,"03.07.2",3,"12:0",0,17.461,-30.823,1.071944,0.7285,6.051,0.58355,29.922,2992.2
