Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9
22.6.3,3,water,4,-4.53,1.100718,751.6652002,-14.17113574,1.090170535,718.9305601,23.02899408,1.130842785,688.261701,21.86,1.129565,763,-13.82500221,1.09054913,665.1982577,,,,,,,,,
22.7.1,1,leaf,6,173.37,1.294876,941.5680071,,,,,,,128.39,1.24586,738,,,,-4.144648207,1.101136151,829.4225038,-10.76874896,1.093891878,660.303639,63.79,1.175367,981.40
22.7.2,2,leaf,7,29.13,1.137507,662.8096838,,,,,,,17.97,1.125319,778.4,,,,-9.17993939,1.095629535,842.3834541,-11.12153108,1.093506038,694.1352434,0.04,1.105711,938.00
22.7.3,3,leaf,5,17.93,1.125273,657.8367512,,,,,,,8.2,1.114639,873.3,,,,-12.01285536,1.092531176,834.1996517,-12.24242993,1.092280082,686.695423,-0.51,1.105109,860.40
24.2.1,1,leaf,6,114.15,1.230328,1010.014355,,,,,,,27.3,1.13551,870.5,,,,-9.141789639,1.095671258,975.5170823,-12.03753264,1.092504186,820.3772485,41.57,1.151106,1112.80
24.2.2,2,leaf,4,31.40,1.139989,663.5536658,,,,,,,1.29,1.107076,702.9,,,,-11.55834489,1.093028287,767.0454833,-12.29285105,1.092224934,659.1289305,1.35,1.10715,728.20
24.2.3,3,leaf,2.5,35.28,1.144232,646.402922,,,,,,,2.63,1.108546,663.9,,,,-10.58651682,1.094091186,710.8944178,-12.72871655,1.091748208,688.3791718,6.44,1.112713,718.80
28.1.1,1,starch,4,-6.33,1.098742,875.3536056,13.13150929,1.120024773,855.8142878,16.90051219,1.124144596,914.4322411,13.37,1.120289,840.2,-13.82020522,1.090554377,862.2360275,,,,,,,,,
28.1.2,2,starch,5,7.79,1.114183,724.0511528,1.826536716,1.107665471,668.7615401,0.862981897,1.106611909,741.5934661,-4.97,1.100231,654.8,7.460728256,1.113825507,832.7116876,,,,,,,,,
28.1.3,3,starch,5,-11.53,1.093056,932.5619087,-9.789029728,1.094963389,807.1421996,-10.58984544,1.094087546,890.0766186,-11.99,1.092552,800.8,-3.8965617,1.101407444,712.1082832,,,,,,,,,
3.7.1,1,leaf,7,134.24,1.252235,1105.988038,,,,,,,-15.03,1.089227,1368.1,,,,-14.24768972,1.090086802,1319.94161,-16.07662801,1.088086291,1059.743681,-4.04,1.101253,1151.80
3.7.2,2,leaf,6,42.88,1.152534,758.783367,,,,,,,-11.83,1.092727,849.3,,,,-11.64652322,1.092931844,917.2123846,-13.3063916,1.091116371,920.3057836,-12.1,1.092432,865.50
3.7.3,3,leaf,6,30.85,1.139389,686.7737369,,,,,,,-14.87,1.089408,1093.1,,,,-13.53392084,1.090867507,871.946951,-12.46907159,1.092032194,923.3208687,-13.67,1.090718,1085.40
33.10.1,1,water,6,5.41,1.111585,897.9381914,-13.48186265,1.090924447,631.8897878,86.79666486,1.200484532,698.7166065,-11.58,1.093008,629,-12.17744723,1.092351156,675.6923202,,,,,,,,,
33.10.2,2,water,4,-8.25,1.096642,886.3777785,-14.59025207,1.08971211,720.0429022,12.25163071,1.119062945,803.8530158,-13.77,1.090613,675,-12.91826442,1.09154089,620.6768062,,,,,,,,,
33.10.3,3,water,5,-2.24,1.103220,635.7432587,-11.20639537,1.093413221,612.1854413,17.32857857,1.124612485,628.3515683,-12.06,1.092483,594,-13.03238756,1.091416067,636.339586,,,,,,,,,
34.6.1,1,starch,5,77.35,1.190171,812.6633294,227.3141026,1.353600236,580.9716594,139.8965923,1.258401039,817.7537329,159.7,1.279989,733.2,-9.990725988,1.094742798,582.851193,,,,,,,,,
34.6.2,2,starch,4,25.29,1.133318,640.5293795,33.60336551,1.142398024,659.3247153,23.16824332,1.130994969,704.0419516,25.2,1.133221,619.8,-6.479183009,1.09858317,693.1563196,,,,,,,,,
34.6.3,3,starch,5,-8.38,1.096506,630.113631,37.95095067,1.147148103,594.1283944,10.89766526,1.11758284,696.3671895,10.2,1.116822,614.5,-7.937340364,1.096988504,675.6531632,,,,,,,,,
37.4.1,1,starch,4,-5.81,1.099311,707.8010187,13.81309135,1.120769822,783.1781465,0.766888264,1.106506838,739.1657353,-6.1,1.099,706.5,-13.83015878,1.09054349,772.3708284,,,,,,,,,
37.4.2,2,starch,6.5,-11.80,1.092761,773.2322813,-10.65345919,1.094017971,694.3701851,-12.9363741,1.091521082,834.5912212,-12.75,1.091727,828.1,-4.540935933,1.100702792,739.9880312,,,,,,,,,
37.4.3,3,starch,7.5,-12.91,1.091551,593.4627263,-12.47772032,1.092022735,695.8581492,-12.49772076,1.092000859,785.0185231,-11.68,1.092892,603.4,-13.17339039,1.091261843,853.2299291,,,,,,,,,
4.7.1,1,water,5.5,,,,87.41634127,1.20116081,1072.695087,,,,-16.77,1.087322,861,,,,-18.66599978,1.085253872,1077.403465,-14.27507308,1.09005685,689.6321942,-18.94,1.084956,1036.00
4.7.2,2,water,3.5,,,,20.0884152,1.127628961,712.7729518,,,,-14.76,1.089521,688,,,,-14.84070874,1.08943816,764.5785955,-17.59699458,1.086423237,978.2972257,-14.52,1.08979,803.00
4.7.3,3,water,7,,,,27.27384531,1.135481709,652.5078438,,,,-13.09,1.091351,667,,,,-15.23248183,1.089009636,758.3134836,-13.47422669,1.090932799,784.8227384,-15.7,1.0885,761.00
